model,dataset,class,precision,recall,f1_score,support
Soft Voting Hybrid,CICIDS2018,Bot,0.999,0.999,0.999,1000
Soft Voting Hybrid,CICIDS2018,Brute Force,0.9643,0.9643,0.9643,168
Soft Voting Hybrid,CICIDS2018,DDoS,1.0,1.0,1.0,1000
Soft Voting Hybrid,CICIDS2018,DoS,0.999,1.0,0.9995,1000
Soft Voting Hybrid,CICIDS2018,SQL Injection,0.7647,0.7222,0.7429,18
Soft Voting Hybrid,CICIDS2018,macro avg,0.9454,0.9371,0.9411,3186
Soft Voting Hybrid,CICIDS2018,weighted avg,0.9962,0.9962,0.9962,3186
